time ,thrust [N],mdot [kg]
0.5558111,52393.458,22.7575345000895
0.5566444,52373.846,22.7490158646787
0.5574777,52373.846,22.7490158646787
0.558311,52324.816,22.7277192761515
0.5591443,52324.816,22.7277192761515
0.5599776,52364.04,22.7447565469732
0.5608109,52422.876,22.7703124532058
0.5616442,52501.324,22.8043869948492
0.5624775,52579.772,22.8384615364926
0.5633108,52638.608,22.8640174427251
0.5641441,52687.638,22.8853140312523
0.5649774,52697.444,22.8895733489577
0.5658107,52687.638,22.8853140312523
0.566644,52658.22,22.872536078136
0.5674773,52609.19,22.8512394896089
0.5683106,52540.548,22.8214242656709
0.5691439,52452.294,22.7830904063221
0.5699772,52393.458,22.7575345000895
0.5708105,52393.458,22.7575345000895
0.5716438,52364.04,22.7447565469732
0.5724771,52315.01,22.7234599584461
0.5733104,52265.98,22.702163369919
0.5741437,52285.592,22.7106820053298
0.574977,52383.652,22.7532751823841
0.5758103,52501.324,22.8043869948492
0.5766436,52569.966,22.8342022187872
0.5774769,52609.19,22.8512394896089
0.5783102,52638.608,22.8640174427251
0.5791435,52687.638,22.8853140312523
0.5799768,52736.668,22.9066106197794
0.5808101,52717.056,22.8980919843686
0.5816434,52677.832,22.8810547135469
0.5824767,52638.608,22.8640174427251
0.58331,52618.996,22.8554988073143
0.5841433,52579.772,22.8384615364926
0.5849766,52511.13,22.8086463125546
0.5858099,52452.294,22.7830904063221
0.5866432,52403.264,22.7617938177949
0.5874765,52373.846,22.7490158646787
0.5883098,52364.04,22.7447565469732
0.5891431,52364.04,22.7447565469732
0.5899764,52393.458,22.7575345000895
0.5908097,52452.294,22.7830904063221
0.591643,52501.324,22.8043869948492
0.5924763,52560.16,22.8299429010817
0.5933096,52618.996,22.8554988073143
0.5941429,52648.414,22.8682767604306
0.5949762,52648.414,22.8682767604306
0.5958095,52658.22,22.872536078136
0.5966428,52648.414,22.8682767604306
0.5974761,52628.802,22.8597581250197
0.5983094,52579.772,22.8384615364926
0.5991427,52540.548,22.8214242656709
0.599976,52481.712,22.7958683594383
0.6008093,52481.712,22.7958683594383
0.6016426,52501.324,22.8043869948492
0.6024759,52501.324,22.8043869948492
0.6033092,52471.906,22.7916090417329
0.6041425,52520.936,22.81290563026
0.6049758,52550.354,22.8256835833763
0.6058091,52599.384,22.8469801719034
0.6066424,52648.414,22.8682767604306
0.6074757,52677.832,22.8810547135469
0.608309,52717.056,22.8980919843686
0.6091423,52717.056,22.8980919843686
0.6099756,52677.832,22.8810547135469
0.6108089,52638.608,22.8640174427251
0.6116422,52609.19,22.8512394896089
0.6124755,52560.16,22.8299429010817
0.6133088,52501.324,22.8043869948492
0.6141421,52462.1,22.7873497240275
